epoch,train_loss,val_loss,train_iou,val_iou,train_dice,val_dice,learning_rate
1,0.7116389690443526,1.1230055185464711,0.6368851121081862,0.2201768967967767,0.7707371600838595,0.3446744124476726,0.0001
2,0.35813963274623073,0.3159903906858884,0.7167117567949517,0.7348255790196933,0.8331718389378038,0.8468659153351417,0.0001
3,0.33182183739750887,0.27483053849293637,0.7298652404962584,0.7571461521662198,0.8425463216249333,0.8611042637091416,0.0001
4,0.3050824507724407,0.2744123385502742,0.7264126677845799,0.7713477244743934,0.839382482129474,0.8701559534439673,0.0001
5,0.2851560032644937,0.25901193572924686,0.751695336297501,0.778804728618035,0.8559903973756835,0.874995442537161,0.0001
6,0.2793425432471342,0.2535437345504761,0.7528958057248315,0.7695717536486112,0.8560724729715392,0.8692690454996549,0.0001
7,0.27565833475700646,0.26199645033249486,0.7486836979555529,0.7770043794925396,0.8539533046788947,0.8737333646187415,0.0001
8,0.2619017016055972,0.2549193295148703,0.7605512405550757,0.782996654510498,0.8627551281174948,0.8776483444067148,0.0001
9,0.26020356250363724,0.24443728075577661,0.7616323703943297,0.780007738333482,0.8629771124484927,0.8758705946115347,0.0001
10,0.254273431938748,0.2687350454238745,0.7676847923633664,0.7771626344093909,0.8666620448578236,0.8740291503759531,0.0001
11,0.2564830523590709,0.24562653440695542,0.768718285616054,0.7811595522440397,0.8667684543964475,0.8764344041164105,0.0001
12,0.24367031524347704,0.24280206629863152,0.7761259536410487,0.7841451305609483,0.8726447779078816,0.8784869588338412,0.0001
13,0.24424185136029886,0.28263050661637235,0.7713803579640943,0.7780478138190049,0.8699013854182044,0.8746324181556702,0.0001
14,0.24404863562694815,0.2660267972029172,0.7763020562571149,0.7672010430922875,0.8724597013273905,0.8679628418042109,0.0001
15,0.23118081619573194,0.2497140627640944,0.7899650820465975,0.7805874576935401,0.8815234123274337,0.8765083505557134,0.0001
16,0.23626693632713583,0.26606780978349537,0.7803395570710648,0.7688314410356375,0.8745933438456336,0.8688633304375869,0.0001
17,0.23622106778067212,0.4022430915098924,0.7739136052686114,0.6184419393539429,0.8705540216246317,0.7623428839903611,0.0001
18,0.223798748712207,0.2657412691758229,0.7881597044856049,0.7741638513711783,0.8804562313612118,0.8719859765126154,0.0001
19,0.211444872756337,0.24692250673587507,0.8032600976700006,0.7702303345386798,0.8895409481469975,0.8698257895616385,1e-05
20,0.19612204266148944,0.26283751542751604,0.8199640630289565,0.7776906765424288,0.8986045842946961,0.8745792278876672,1e-05
21,0.18403256078099095,0.2652671325665254,0.8280771776687267,0.7715925528452947,0.9055062366086383,0.8707022666931152,1e-05
22,0.17979146366895632,0.2525341487847842,0.8301396744195805,0.7750448813805213,0.9066954629365788,0.8729060934140132,1e-05
23,0.17666912945204002,0.27411475433753085,0.8338070040525392,0.7670802244773278,0.9086245326108711,0.8678129498775189,1e-05
24,0.1769658133041027,0.2806712881876872,0.8333263480386068,0.7661243264491742,0.9083521199780841,0.8671759091890775,1e-05
25,0.16625463130862214,0.27336193735782915,0.8456213238627411,0.7678833741408128,0.916043501953746,0.8683364941523626,1.0000000000000002e-06
26,0.164192853278892,0.27220394634283507,0.8480434861294058,0.7671261842434223,0.9173090624254804,0.8678671304996197,1.0000000000000002e-06
27,0.16915720666563788,0.2682578850250978,0.8385377831237261,0.7677367008649386,0.9115811420041461,0.8682798238900992,1.0000000000000002e-06
